Denominação genérica,"Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
rituximabe,10 mg/mL,solução injetável,L01XC02,Especializado
secuquinumabe,150 mg/ml,"pó para solução
injetável",L04AC10,Especializado
sirolimo,1 mg,comprimido,L04AA10,"Especializado
e Hospitalar"
sirolimo,2 mg,comprimido,L04AA10,"Especializado
e Hospitalar"
sirolimo,1 mg/mL,solução oral,L04AA10,Hospitalar
tacrolimo,1 mg,cápsula,L04AD02,"Especializado
e Hospitalar"
tacrolimo,5 mg,cápsula,L04AD02,"Especializado
e Hospitalar"
tacrolimo,5 mg/mL,solução injetável,L04AD02,Hospitalar
talidomida,100 mg,comprimido,L04AX02,Estratégico
teriflunomida,14 mg,comprimido,L04AA31,Especializado
tocilizumabe,20 mg/mL,solução injetável,L04AC07,Especializado
tofacitinibe,5 mg,comprimido,L04AA29,Especializado
triptorrelina,"3,75 mg","pó para
suspensão
injetável",L02AE04,Especializado
triptorrelina,"11,25 mg","pó para
suspensão
injetável",L02AE04,Especializado
upadacitinibe,15 mg,"comprimido
revestido
de liberação
prolongada",L04AA44,Especializado
ustequinumabe,45 mg,solução injetável,L04AC05,Especializado
vedolizumabe,300 mg,"pó para solução
injetável",L04AA33,Especializado
