"Denominação
genérica","Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
"cloridrato de
nortriptilina",10 mg,cápsula,N06AA10,Básico
"cloridrato de
nortriptilina",25 mg,cápsula,N06AA10,Básico
"cloridrato de
nortriptilina",50 mg,cápsula,N06AA10,Básico
"cloridrato de
nortriptilina",75 mg,cápsula,N06AA10,Básico
"cloridrato de
prilocaína +
felipressina","30 mg/mL (3%) + 0,03
unidades internacionais/
mL",solução injetável,N01BB54,Básico
"cloridrato de
selegilina",5 mg,comprimido,N04BD01,Especializado
"cloridrato de
triexifenidil",5 mg,comprimido,N04AA01,Especializado
clozapina,25 mg,comprimido,N05AH02,Especializado
clozapina,100 mg,comprimido,N05AH02,Especializado
"decanoato de
haloperidol",50 mg/mL,solução injetável,N05AD01,Básico
diazepam,5 mg/mL,solução injetável,N05BA01,Básico
diazepam,5 mg,comprimido,N05BA01,Básico
diazepam,10 mg,comprimido,N05BA01,Básico
"dicloridrato de
pramipexol","0,125 mg",comprimido,N04BC05,Especializado
"dicloridrato de
pramipexol","0,25 mg",comprimido,N04BC05,Especializado
"dicloridrato de
pramipexol",1 mg,comprimido,N04BC05,Especializado
dipirona,500 mg/mL,solução injetável,N02BB02,Básico
dipirona,500 mg,comprimido,N02BB02,Básico
dipirona,500 mg/mL,solução oral,N02BB02,Básico
entacapona,200 mg,comprimido,N04BX02,Especializado
etossuximida,50 mg/mL,xarope,N03AD01,Especializado
fenitoína,100 mg,comprimido,N03AB02,Básico
fenitoína,20 mg/mL,suspensão oral,N03AB02,Básico
fenitoína,50 mg/mL,solução injetável,N03AB02,Básico
fenobarbital,100 mg/mL,solução injetável,N03AA02,Básico
fenobarbital,100 mg,comprimido,N03AA02,Básico
fenobarbital,40 mg/mL,solução oral,N03AA02,Básico
"fumarato de
dimetila",120 mg,cápsula,N07XX09,Especializado
"fumarato de
dimetila",240 mg,cápsula,N07XX09,Especializado
gabapentina,300 mg,cápsula,N03AX12,Especializado
gabapentina,400 mg,cápsula,N03AX12,Especializado
haloperidol,1 mg,comprimido,N05AD01,Básico
haloperidol,5 mg,comprimido,N05AD01,Básico
haloperidol,2 mg/mL,solução oral,N05AD01,Básico
haloperidol,5 mg/mL,solução injetável,N05AD01,Básico
"hemifumarato de
quetiapina",25 mg,comprimido,N05AH04,Especializado
"hemifumarato de
quetiapina",100 mg,comprimido,N05AH04,Especializado
"hemifumarato de
quetiapina",200 mg,comprimido,N05AH04,Especializado
"hemifumarato de
quetiapina",300 mg,comprimido,N05AH04,Especializado
"lactato de
biperideno",5 mg/mL,solução injetável,N04AA02,Básico
lamotrigina,25 mg,comprimido,N03AX09,Especializado
lamotrigina,50 mg,comprimido,N03AX09,Especializado
lamotrigina,100 mg,comprimido,N03AX09,Especializado
levetiracetam,250 mg,comprimido,N03AX14,Especializado
levetiracetam,500 mg,comprimido,N03AX14,Especializado
levetiracetam,750 mg,comprimido,N03AX14,Especializado
levetiracetam,1.000 mg,comprimido,N03AX14,Especializado
levetiracetam,100 mg/ml,solução oral,N03AX14,Especializado
"levodopa +
benserazida",100 mg + 25 mg,cápsula,N04BA02,Básico
"levodopa +
benserazida",100 mg + 25 mg,comprimido,N04BA02,Básico
"levodopa +
benserazida",200 mg + 50 mg,comprimido,N04BA02,Básico
"levodopa +
carbidopa",200 mg + 50 mg,comprimido,N04BA02,Básico
"levodopa +
carbidopa",250 mg + 25 mg,comprimido,N04BA02,Básico
memantina,10 mg,comprimido,N06DX01,Especializado
mesilato de bromocriptina,"2,5 mg",comprimido,N04BC01,Especializado
"mesilato de
rasagilina",1 mg,comprimido,N04BD02,Especializado
midazolam,2 mg/mL,solução oral,N05CD08,Básico
nicotina,7 mg,"adesivo
transdérmico",N07BA01,Estratégico
nicotina,14 mg,"adesivo
transdérmico",N07BA01,Estratégico
nicotina,21 mg,"adesivo
transdérmico",N07BA01,Estratégico
nicotina,2 mg,goma de mascar,N07BA01,Estratégico
nicotina,2 mg,pastilha,N07BA01,Estratégico
olanzapina,5 mg,comprimido,N05AH03,Especializado
olanzapina,10 mg,comprimido,N05AH03,Especializado
paracetamol,200 mg/mL,solução oral,N02BE01,Básico
paracetamol,500 mg,comprimido,N02BE01,Básico
primidona,100 mg,comprimido,N03AA03,Especializado
primidona,250 mg,comprimido,N03AA03,Especializado
riluzol,50 mg,comprimido,N07XX02,Especializado
risperidona,1 mg/mL,solução oral,N05AX08,Especializado
risperidona,1 mg,comprimido,N05AX08,Especializado
risperidona,2 mg,comprimido,N05AX08,Especializado
risperidona,3 mg,comprimido,N05AX08,Especializado
rivastigmina,"1,5 mg",cápsula,N06DA03,Especializado
rivastigmina,3 mg,cápsula,N06DA03,Especializado
rivastigmina,"4,5 mg",cápsula,N06DA03,Especializado
rivastigmina,6 mg,cápsula,N06DA03,Especializado
rivastigmina,2 mg/mL,solução oral,N06DA03,Especializado
rivastigmina,9 mg,"adesivo
transdérmico",N06DA03,Especializado
rivastigmina,18 mg,"adesivo
transdérmico",N06DA03,Especializado
sulfato de morfina,10 mg/mL,solução injetável,N02AA01,Especializado
sulfato de morfina,10 mg/mL,solução oral,N02AA01,Especializado
sulfato de morfina,10 mg,comprimido,N02AA01,Especializado
sulfato de morfina,30 mg,comprimido,N02AA01,Especializado
sulfato de morfina,30 mg,"cápsula de
liberação
prolongada",N02AA01,Especializado
sulfato de morfina,60 mg,"cápsula de
liberação
prolongada",N02AA01,Especializado
sulfato de morfina,100 mg,"cápsula de
liberação
prolongada",N02AA01,Especializado
tafamidis,20 mg,cápsula,N07XX08,Especializado
topiramato,25 mg,comprimido,N03AX11,Especializado
topiramato,50 mg,comprimido,N03AX11,Especializado
topiramato,100 mg,comprimido,N03AX11,Especializado
valproato de sódio,250 mg,cápsula,N03AG01,Básico
valproato de sódio,250 mg,comprimido,N03AG01,Básico
valproato de sódio,50 mg/mL,xarope,N03AG01,Básico
valproato de sódio,50 mg/mL,solução oral,N03AG01,Básico
valproato de sódio,500 mg,comprimido,N03AG01,Básico
vigabatrina,500 mg,comprimido,N03AG04,Especializado
ziprasidona,40 mg,cápsula,N05AE04,Especializado
ziprasidona,80 mg,cápsula,N05AE04,Especializado
