"Denominação
genérica","Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente
heparina sódica,"5.000 unidades
internacionais/0,25 mL",solução injetável,B01AB01,Básico
iloprosta,10 microgramas/mL,"solução para
nebulização",B01AC11,Especializado
"sacarato de
hidróxido férrico",20 mg/mL,solução injetável,B03AC,Especializado
selexipague,"0,2 mg",comprimido,B01AC27,Especializado
selexipague,"0,4 mg",comprimido,B01AC27,Especializado
selexipague,"0,6 mg",comprimido,B01AC27,Especializado
selexipague,"0,8 mg",comprimido,B01AC27,Especializado
selexipague,1 mg,comprimido,B01AC27,Especializado
selexipague,"1,2 mg",comprimido,B01AC27,Especializado
selexipague,"1,4 mg",comprimido,B01AC27,Especializado
selexipague,"1,6 mg",comprimido,B01AC27,Especializado
"solução ringer +
lactato","lactato de sódio 3 mg/
mL + cloreto de sódio
6 mg/mL + cloreto de
potássio 0,3 mg/mL +
cloreto de cálcio 0,2 mg/
mL",solução injetável,B05BB01,Básico
sulfato ferroso,"5 mg/mL (Ferro
elementar)",xarope,B03AA07,Básico
sulfato ferroso,"25 mg/mL (Ferro
elementar)",solução oral,B03AA07,Básico
sulfato ferroso,40 mg (Ferro elementar),comprimido,B03AA07,Básico
tenecteplase,30 mg,"pó para solução
injetável",B01AD11,Hospitalar
tenecteplase,40 mg,"pó para solução
injetável",B01AD11,Hospitalar
tenecteplase,50 mg,"pó para solução
injetável",B01AD11,Hospitalar
varfarina sódica,1 mg,comprimido,B01AA03,Básico
varfarina sódica,5 mg,comprimido,B01AA03,Básico
