Denominação genérica,"Concentração/
Composição","Forma
farmacêutica","Código
ATC",Componente,"Classificação
AWaRe"
"soro antiaracnídico (Loxosceles, Phoneutria e Tityus)
Velpatasvi","cada mL contém
imunoglobulinas
que neutralizam,
no mínimo, 1,5
Dose Mínima
Mortal (DMN) de
veneno de Tityus
serrulatus (1,5
DMM/mL), 1,5
DMM de veneno
de Phoneutria
nigriventer
(1,5 DMM/
mL) e 15 DMN
(Dose Mínima
Necrosante)
de veneno de
Loxosceles
gaucho (15
DMN/mL)","solução
injetável",J06AA,Estratégico,Alerta
"soro antibotrópico
(pentavalente)","cada mL contém
imunoglobulinas
(IgG) que
neutralizam, no
mínimo, 5 mg
de veneno de
Bothrops jararaca
(5 mg/mL)","solução
injetável",J06AA03,Estratégico,Alerta
soro antibotrópico (pentavalente) e anticrotálico,"cada mL contém
imunoglobulinas
que neutralizam,
no mínimo, 5
mg de veneno
de Bothrops
jararaca e a 1,5
mg de veneno de
Crotalus durissus
terrifcus (5 mg/
mL e 1,5 mg/mL)","solução
injetável",J06AA03,Estratégico,Alerta
soro antibotrópico (pentavalente) e antilaquético,"cada mL contém
imunoglobulinas
que neutralizam,
no mínimo, 5 mg
de veneno de
Bothrops jararaca
e 3 mg de veneno
de Lachesis muta
(5 mg/mL e 3
mg/mL)","solução
injetável",J06AA03,Estratégico,Alerta
"soro antibotulínico
AB (bivalente)","cada mL contém
imunoglobulinas
que neutralizam,
no mínimo,
375 unidades
internacionais
de toxina
butolínica tipo A
e 275 unidades
internacionais
de toxina
butolínica tipo B
(375 unidades
internacionais/
mL e 275
unidades
internacionais/
mL)","solução
injetável",J06AA04,Estratégico,Alerta
soro anticrotálico,"cada mL contém
imunoglobulinas
que neutralizam,
no mínimo, 1,5
mg de veneno
Crotalus durissus
terrifcus (1,5 mg/
mL)","solução
injetável",J06AA03,Estratégico,Alerta
soro antidiftérico,"cada mL contém
imunoglobulinas
que neutralizam,
no mínimo,
1.000 unidades
internacionais de
toxina diftérica
(1.000 unidades
internacionais/
mL)","solução
injetável",J06AA01,Estratégico,Alerta
soro antielapídico (bivalente),"cada mL contém
imunoglobulinas
que neutralizam,
no mínimo, 1,5
mg de veneno de
Micrurus frontalis
(1,5 mg/mL)","solução
injetável",J06AA03,Estratégico,Alerta
"soro
antiescorpiônico","cada mL contém
imunoglobulinas
que neutralizam,
no mínimo 1,5
DMM (Dose
Mínima Mortal)
de veneno de
Tityus serrulatus
(1,5 DMM/mL)","solução
injetável",J06AA,Estratégico,Alerta
soro antilonômico,"cada mL contém
imunoglobulinas
que neutralizam,
no mínimo, 0,35
mg de veneno de
Lonomia obliqua
(0,35 mg/mL)","solução
injetável",J06AA,Estratégico,Alerta
"soro
antiloxoscélico
(trivalente)","cada mL contém
imunoglobulinas
que neutralizam,
no mínimo,
15 DMN
(Dose Mínima
Necrosante)
de veneno
de aranhas
das espécies
Loxosceles
laeta, Loxosceles
gaucho e
Loxosceles
intermedia (15
DMN/mL)","solução
injetável",J06AA,Estratégico,Alerta
soro antirrábico,"cada mL contém
imonoglobulinas
que neutralizam,
no mínimo,
200 unidades
internacionais
de vírus da raiva
(200 unidades
internacionais/
mL)","solução
injetável",J06AA06,Estratégico,Alerta
soro antitetânico,"cada mL contém
imunoglobulinas
que neutralizam,
no mínimo,
1.000 unidades
internacionais de
toxina tetânica","solução
injetável",J06AA02,Estratégico,Alerta
sulfadiazina,500 mg,comprimido,J01EC02,Estratégico,Alerta
"sulfametoxazol +
trimetoprima","40 mg/mL + 8
mg/mL","suspensão
oral",J01EE01,Básico,Acesso
"sulfametoxazol +
trimetoprima","80 mg/mL + 16
mg/mL","solução
injetável",J01EE01,Básico,Acesso
"sulfametoxazol +
trimetoprima",400 mg + 80 mg,comprimido,J01EE01,Básico,Acesso
sulfato de abacavir,20 mg/mL,solução oral,J05AF06,Estratégico,Acesso
sulfato de abacavir,300 mg,comprimido,J05AF06,Estratégico,Acesso
"sulfato de
amicacina",250 mg/mL,"solução
injetável",J01GB06,Estratégico,Acesso
"sulfato de
atazanavir",300 mg,cápsula,J05AE08,Estratégico,Acesso
"sulfato de
estreptomicina",1 g,"pó para
solução
injetável",J01GA01,Estratégico,Alerta
terizidona,250 mg,cápsula,J04AK03,Estratégico,Alerta
tipranavir,250 mg,cápsula mole,J05AE09,Estratégico,Alerta
tipranavir,100 mg/mL,solução oral,J05AE09,Estratégico,Alerta
tobramicina,300 mg,"solução
inalatória",J01GB01,Especializado,Alerta
"vacina adsorvida
difteria e tétano
Adulto",300 mg,"suspensão
injetável",J07AM51,Estratégico,Alerta
"vacina adsorvida
difteria e tétano
Infantil",300 mg,"suspensão
injetável",J07AM51,Estratégico,Alerta
"vacina adsorvida
difteria, tétano e
pertussis",300 mg,"suspensão
injetável",J07AJ51,Estratégico,Alerta
"vacina adsorvida
difteria, tétano e
pertussis (acelular)
adulto",300 mg,"suspensão
injetável",J07AJ51,Estratégico,Alerta
"vacina adsorvida
difteria, tétano e
pertussis (acelular)
infantil",300 mg,"suspensão
injetável",J07AJ51,Estratégico,Alerta
"vacina adsorvida
difteria, tétano,
pertussis, hepatite
B (recombinante)
e Haemophilus
influenzae B
(conjugada)",300 mg,"suspensão
injetável",J07CA11,Estratégico,Alerta
"vacina adsorvida
hepatite A
(inativada) adulto",300 mg,"suspensão
injetável",J07BC02,Estratégico,Alerta
"vacina adsorvida
hepatite A
(inativada) infantil",300 mg,"suspensão
injetável",J07BC02,Estratégico,Alerta
vacina BCG,300 mg,"pó para
suspensão
injetável",J07AN01,Estratégico,Alerta
"vacina cólera
(inativada)",300 mg,"suspensão
oral",J07AE01,Estratégico,Alerta
"vacina febre
amarela (atenuada)",300 mg,"pó para
solução
injetável",J07BL01,Estratégico,Alerta
"vacina febre tifoide
(polissacarídica)",300 mg,"solução
injetável",J07AP03,Estratégico,Alerta
"vacina
Haemophilus
influenzae B
(conjugada)",300 mg,"pó para
solução
injetável",J07AG01,Estratégico,Alerta
"vacina hepatite B
(recombinante)",300 mg,"suspensão
injetável",J07BC01,Estratégico,Alerta
"vacina influenza
trivalente
(fragmentada,
inativada)",300 mg,"suspensão
injetável",J07BB02,Estratégico,Alerta
"vacina
meningocócica
ACWY (conjugada)",300 mg,"solução
injetável",J07AH08,Estratégico,Alerta
"vacina
meningocócica C
(conjugada)",300 mg,"pó para
suspensão
injetável",J07AH07,Estratégico,Alerta
"vacina
papilomavírus
humano 6, 11, 16 e
18 (recombinante)",300 mg,"suspensão
injetável",J07BM01,Estratégico,Alerta
"vacina
pneumocócica
10-valente
(conjugada)",300 mg,"suspensão
injetável",J07AL02,Estratégico,Alerta
"vacina
pneumocócica
13-valente
(conjugada)",300 mg,"solução
injetável",J07AL02,Estratégico,Alerta
"vacina
pneumocócica
23-valente
(polissacarídica)",300 mg,"solução
injetável",J07AL01,Estratégico,Alerta
"vacina poliomielite
1 e 3 (atenuada)",300 mg,solução oral,J07BF02,Estratégico,Alerta
"vacina poliomielite
1, 2 e 3 (inativada)",300 mg,"solução
injetável",J07BF03,Estratégico,Alerta
"vacina raiva
(inativada)",300 mg,"pó para
suspensão
injetável",J07BG01,Estratégico,Alerta
"vacina rotavírus
humano G1P [8]
(atenuada)",300 mg,"suspensão
oral",J07BH01,Estratégico,Alerta
"vacina sarampo,
caxumba, rubéola",300 mg,"pó para
solução
injetável",J07BD52,Estratégico,Alerta
"vacina sarampo,
caxumba, rubéola e
varicela (atenuada)",300 mg,"pó para
solução
injetável",J07BD54,Estratégico,Alerta
"vacina varicela
(atenuada)",300 mg,"pó para
solução
injetável",J07BK01,Estratégico,Alerta
zanamivir,5 mg,"pó para
inalação oral",J05AH01,Estratégico,Alerta
zidovudina,100 mg,cápsula,J05AF01,Estratégico,Alerta
zidovudina,10 mg/mL,"solução
injetável",J05AF01,Estratégico,Alerta
zidovudina,10 mg/mL,solução oral,J05AF01,Estratégico,Alerta
zidovudina + lamivudina,300 mg + 150 mg,comprimido,J05AR01,Estratégico,Alerta
